#,MachineName,Category,EntryType,Source,TimeGenerated,country,regionName,city,isp,reconstruction_error,anomaly_score,is_anomaly,severity
58680,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:41:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58690,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.4057877,0.05319877,True,LOW
58691,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3934336,0.05292489,True,LOW
58694,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.406118,0.05320609,True,LOW
58695,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58703,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.4057877,0.05319877,True,LOW
58704,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3934336,0.05292489,True,LOW
58707,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.406118,0.05320609,True,LOW
58708,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58715,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3934336,0.05292489,True,LOW
58717,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.4057877,0.05319877,True,LOW
58719,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.406118,0.05320609,True,LOW
58720,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58727,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3934336,0.05292489,True,LOW
58730,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.406118,0.05320609,True,LOW
58731,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58740,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.406118,0.05320609,True,LOW
58741,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:38:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58749,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.406118,0.05320609,True,LOW
58750,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58757,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.406118,0.05320609,True,LOW
58758,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58765,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-04-19 13:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3930523,0.05291644,True,LOW
58992,DESKTOP-SEJ28PM,General,Information,ESENT,2020-04-07 14:13:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.713113,0.060011882,True,LOW
58995,DESKTOP-SEJ28PM,General,Information,ESENT,2020-04-07 14:13:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1059387,0.046551403,True,LOW
58997,DESKTOP-SEJ28PM,Logging/Recovery,Information,ESENT,2020-04-07 14:13:00,India,Gujarat,Ahmedabad,Bharti Airtel,3.5070758,0.07761328,True,LOW
59077,DESKTOP-SEJ28PM,General,Information,ESENT,2020-03-26 12:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.6306229,0.058183152,True,LOW
59081,DESKTOP-SEJ28PM,General,Information,ESENT,2020-03-26 12:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1575058,0.047694597,True,LOW
59088,DESKTOP-SEJ28PM,General,Information,ESENT,2020-03-26 12:35:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.502954,0.055352855,True,LOW
59094,DESKTOP-SEJ28PM,General,Information,ESENT,2020-03-26 12:34:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.6248949,0.05805617,True,LOW
59097,DESKTOP-SEJ28PM,General,Information,ESENT,2020-03-26 12:34:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1225438,0.046919525,True,LOW
59100,DESKTOP-SEJ28PM,General,Information,ESENT,2020-03-26 12:34:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.443431,0.054033283,True,LOW
59328,DESKTOP-SEJ28PM,General,Information,ESENT,2020-03-26 11:50:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.6236324,0.05802818,True,LOW
59331,DESKTOP-SEJ28PM,General,Information,ESENT,2020-03-26 11:50:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1220536,0.046908658,True,LOW
59439,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-03-19 14:20:00,India,Gujarat,Ahmedabad,Bharti Airtel,4.860701,0.107621856,True,LOW
59442,DESKTOP-SEJ28PM,0,Information,Windows Error Reporting,2020-03-19 14:20:00,India,Gujarat,Ahmedabad,Bharti Airtel,4.8591967,0.10758851,True,LOW
59467,DESKTOP-SEJ28PM,0,Information,MsiInstaller,2020-03-19 14:05:00,India,Gujarat,Ahmedabad,Bharti Airtel,9.476545,0.20995075,True,LOW
59496,DESKTOP-SEJ28PM,0,Information,MsiInstaller,2020-03-19 14:00:00,India,Gujarat,Ahmedabad,Bharti Airtel,9.476271,0.20994465,True,LOW
59570,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 15:18:00,India,Gujarat,Ahmedabad,Bharti Airtel,3.74455,0.08287786,True,LOW
59573,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 15:17:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1203277,0.046870396,True,LOW
59599,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 14:41:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.64051,0.058402345,True,LOW
59602,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 14:41:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1795473,0.048183236,True,LOW
59605,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 14:41:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.7311935,0.06041271,True,LOW
59607,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 14:41:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.6406631,0.058405735,True,LOW
59610,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 14:41:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.129551,0.047074866,True,LOW
59613,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 14:41:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.5859184,0.0571921,True,LOW
59660,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 14:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.8561182,0.06318217,True,LOW
59663,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-19 14:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.0662081,0.045670614,True,LOW
59665,DESKTOP-SEJ28PM,Logging/Recovery,Information,ESENT,2020-01-19 14:36:00,India,Gujarat,Ahmedabad,Bharti Airtel,3.5384336,0.07830845,True,LOW
59681,DESKTOP-SEJ28PM,0,Information,MsiInstaller,2020-01-19 14:17:00,India,Gujarat,Ahmedabad,Bharti Airtel,9.494728,0.21035384,True,LOW
59696,DESKTOP-SEJ28PM,0,Information,MsiInstaller,2020-01-19 14:12:00,India,Gujarat,Ahmedabad,Bharti Airtel,9.494465,0.210348,True,LOW
59768,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-12 16:51:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.6492536,0.05859618,True,LOW
59771,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-12 16:51:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1510124,0.047550645,True,LOW
59778,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-12 16:51:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.4514325,0.05421067,True,LOW
59784,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-12 16:48:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.645546,0.058513984,True,LOW
59787,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-12 16:48:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1468036,0.04745734,True,LOW
59790,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-12 16:48:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3540878,0.052052636,True,LOW
59866,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-12 15:44:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.6310484,0.05819259,True,LOW
59869,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-12 15:44:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.4128942,0.053356316,True,LOW
59871,DESKTOP-SEJ28PM,Logging/Recovery,Information,ESENT,2020-01-12 15:44:00,India,Gujarat,Ahmedabad,Bharti Airtel,3.5380137,0.07829914,True,LOW
60040,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-05 17:20:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.688431,0.059464704,True,LOW
60043,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-05 17:20:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.2012784,0.048664995,True,LOW
60045,DESKTOP-SEJ28PM,Logging/Recovery,Information,ESENT,2020-01-05 17:20:00,India,Gujarat,Ahmedabad,Bharti Airtel,3.5363977,0.07826332,True,LOW
60090,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-05 16:47:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.668071,0.059013344,True,LOW
60093,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-05 16:47:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.098085,0.046377294,True,LOW
60095,DESKTOP-SEJ28PM,Logging/Recovery,Information,ESENT,2020-01-05 16:47:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.759703,0.061044734,True,LOW
60096,DESKTOP-SEJ28PM,Logging/Recovery,Information,ESENT,2020-01-05 16:47:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.7590005,0.061029162,True,LOW
60097,DESKTOP-SEJ28PM,Logging/Recovery,Information,ESENT,2020-01-05 16:47:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.047292,0.04525126,True,LOW
60098,DESKTOP-SEJ28PM,Logging/Recovery,Information,ESENT,2020-01-05 16:47:00,India,Gujarat,Ahmedabad,Bharti Airtel,3.0344162,0.067134865,True,LOW
60199,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-05 16:18:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.3651736,0.052298393,True,LOW
60202,DESKTOP-SEJ28PM,General,Information,ESENT,2020-01-05 16:18:00,India,Gujarat,Ahmedabad,Bharti Airtel,2.1434197,0.047382325,True,LOW
60483,Mehul,General,Information,ESENT,2020-12-19 08:24:00,India,Gujarat,Surat,BSNL Internet,2.660767,0.05885142,True,LOW
60533,Mehul,Logging/Recovery,Information,ESENT,2020-12-19 14:23:00,India,Gujarat,Surat,BSNL Internet,4.0732384,0.09016456,True,LOW
60551,Mehul,General,Information,ESENT,2020-12-19 14:23:00,India,Gujarat,Surat,BSNL Internet,2.5564764,0.056539394,True,LOW
60563,Mehul,0,Information,Software Protection Platform Service,2020-12-19 08:21:00,India,Gujarat,Surat,BSNL Internet,2.145187,0.0474215,True,LOW
60666,Mehul,0,Information,Windows Error Reporting,2020-12-19 08:24:00,India,Gujarat,Surat,BSNL Internet,5.2706156,0.11670927,True,LOW
60697,Mehul,0,Information,Windows Error Reporting,2020-12-19 08:24:00,India,Gujarat,Surat,BSNL Internet,5.269742,0.116689906,True,LOW
60708,Mehul,General,Information,ESENT,2020-12-19 07:53:00,India,Gujarat,Surat,BSNL Internet,3.718131,0.08229218,True,LOW
60736,Mehul,General,Information,ESENT,2020-12-19 08:24:00,India,Gujarat,Surat,BSNL Internet,2.0367763,0.04501814,True,LOW
60926,Mehul,General,Information,ESENT,2020-12-19 13:17:00,India,Gujarat,Surat,BSNL Internet,2.138056,0.047263414,True,LOW
60956,Mehul,Logging/Recovery,Information,ESENT,2020-12-19 13:17:00,India,Gujarat,Surat,BSNL Internet,3.197924,0.07075968,True,LOW
60957,Mehul,Logging/Recovery,Information,ESENT,2020-12-19 13:17:00,India,Gujarat,Surat,BSNL Internet,2.8616247,0.063304245,True,LOW
61051,Mehul,0,Information,Software Protection Platform Service,2020-12-19 13:14:00,India,Gujarat,Surat,BSNL Internet,2.139189,0.047288533,True,LOW
